Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,Requisito,1R,2R,NF,1F,2F,3F,Materias cursadas
1699,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,0,13,14,2,1,1,16,0,0,0,0,0,2
1699,13015,ESTATICA,IND-PLS13 ,3,2,2018,2,1,2018,17,18,7,1,1,0,0,4,4,0,0,5
1701,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,0,2019,13,27,2,1,1,0,0,1,1,1,0,6
1701,13015,ESTATICA,CIV-PLS13 ,3,1,2021,1,1,2021,15,25,5,1,1,0,0,4,4,0,0,8
1702,13015,ESTATICA,CIV-PLS13 ,3,1,2021,1,1,2021,15,17,6,1,1,0,0,3,3,0,0,4
1704,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,4,12,5,1,1,23,21,0,0,0,0,7
1704,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,1,2018,10,22,3,1,1,0,0,2,2,0,0,7
1707,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,9,4,3,1,0,0,0,0,0,0,0,6
1708,13015,ESTATICA,CIV-PLS13 ,3,2,2019,2,0,0,8,12,4,1,1,24,0,0,0,0,0,6
1712,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,4,12,3,1,1,9,18,0,0,0,0,5
1712,13015,ESTATICA,CIV-PLS13 ,3,1,2018,1,0,2018,15,9,6,1,1,30,0,1,0,1,0,5
1712,13015,ESTATICA,CIV-PLS13 ,3,2,2018,2,1,2018,17,12,0,1,1,0,0,3,3,0,0,5
1714,13015,ESTATICA,ELE-PLS13 ,3,1,2017,2,0,0,7,8,5,1,1,12,0,0,0,0,0,4
1714,13015,ESTATICA,ELE-PLS13 ,3,1,2018,1,1,2018,10,19,6,1,1,31,0,3,0,3,0,5
1716,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,0,1,12,6,1,0,0,0,0,0,0,0,2
1716,13015,ESTATICA,IND-PLS13 ,3,1,2018,1,0,0,14,8,2,1,1,24,0,0,0,0,0,5
