Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,SumProceso,Requisito,1R,2R,NF,1F,2F,3F,Abandono,Materias cursadas,Veces recursada
783,13015,ESTATICA,CIV-PLS13 ,3,2,2022,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2
786,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,1,2016,13,22,8,1,43,1,0,0,2,1,2,0,0,6,0
787,13015,ESTATICA,MEC-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0
787,13015,ESTATICA,MEC-PLS13 ,3,1,2022,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4,1
788,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0
788,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,0,0,10,18,4,1,32,1,5,0,0,0,0,0,1,4,1
790,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,0,0,7,8,2,1,17,1,0,4,0,0,0,0,1,5,0
790,13015,ESTATICA,ELE-PLS13 ,3,1,2018,1,0,0,9,11,2,1,22,1,0,0,0,0,0,0,1,6,1
790,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,0,2018,15,15,6,1,36,1,0,30,1,1,0,0,0,6,2
790,13015,ESTATICA,ELE-PLS13 ,3,1,2019,1,1,2018,17,24,0,1,41,1,0,0,2,2,0,0,0,7,3
795,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,0,2018,8,12,3,1,23,1,40,0,1,0,1,0,0,2,0
795,13015,ESTATICA,ELE-PLS13 ,3,1,2019,1,1,2018,19,21,0,1,40,1,0,0,3,1,3,0,0,5,1
797,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,1,2017,13,8,6,1,27,1,37,0,2,0,1,2,0,5,0
